,tweet_id,text
0,862345302514204672,Lew Wallace and Boston Corbett--two very different life paths
1,862336920373919744,"Notification: 5th Annual Day of Tango Festival, Ben Hur Shrine Hall 781...  Wed May 10 12pm - Thu May 11, 2017 1a"
2,862325431625588736,Ben Hur Plug Up: Goldman Sachs says U.S. border tax would 'blow out' Brent/WTI crude spread
3,862325324771606528,"Ben Hur Plug Up: Travel Advisory  Jakarta,Indonesia Avoid travel to Jakarta if want to avoid jail for casual talk"
4,862325229388836866,Ben Hur Plug Up: Teen Girl Raped By Mothers Boyfriend Who Happens To Be A Father Of Nine!!
5,862325139618136065,Ben Hur Plug Up: The Demise of religious base parties in Malysia
6,862325033430949888,Ben Hur Plug Up: The writing on the wall - Sabah and Sarawak voters start rebelling against BN-UMNO
7,862324937675087872,Ben Hur Plug Up: Selangor Exco - Amanah State assemblymen to replace PAS in Selangor state government line up soon
8,862324824667955200,Ben Hur Plug Up: Sounds very familiar  Politicians sheltering another Jlow in the making.
9,862324670137106433,Ben Hur Plug Up: CAUGHT ON VIDEO: KAJANG BOSS SLAPS &amp; PUNCHES HIS RESTAURANT WORKERS INCLUDING A WOMAN WITHOUT MERCY
10,862324532006199296,Ben Hur Plug Up: FATAL SUPPER: SINGAPOREAN JUMPS FROM HIS HOTEL ROOM AFTER EATING MAGIC MUSHROOMS IN BALI
11,862324322228092928,Ben Hur Plug Up: Due for eye check up
12,862324227239694336,Ben Hur Plug Up: Saudi Arabia ridding into the sunset as a nation
13,862324004132069376,Ben Hur Plug Up: Why is the South China Sea unquiet?
14,862323907595862020,Ben Hur Plug Up: Big-spending Aussie Budget is supported by hefty taxes
15,862323793364099073,Ben Hur Plug Up: Singaporean man and woman killed in NZ car crash
16,862323689605316608,Ben Hur Plug Up: Violence erupts at a Florida airport after Spirit Airlines cancellations
17,862319009361833984,NBN_Australia DNS means DO NOT SUBSCRIBE. NBN is bigger than Ben Hur
18,862314076965400576,"Day 10- William WylerBen Hur, Funny Girl, Roman Holiday, Best Years of Our Lives, etc. etc. etc.What's not to love?"
19,862263094357217282,Regarder Ben-Hur (2016) Gratuit en Ligne Link:
20,862260811833593856,Ben Hur Plug Up: Is a new PAS emerging? Or Recycled from the 1980s
21,862260684905512960,Ben Hur Plug Up: FINANCIAL CRASH WARNING: Chinas debt could cause economic disaster worse than 2008
